category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Điện thoại bàn,,Đã thích (4),,0,Điện thoại bàn IP Yealink T31 công nghệ lọc tiếng ồn,₫1.096.000,,,,,,,,10 tháng trước,182,307,18,duhunggroups2021,64%,trong vài giờ
Điện thoại bàn,,Đã thích (1),,0,Điện thoại lập trình LDP-7224D,₫750.000,,,,,,,,3 năm trước,5,15,0,baoduyt,57%,trong vài giờ
Điện thoại bàn,,Đã thích (14),,0,"✔️ Máy Điện Thoại Bàn Lắp 2 Sim - Có Tiếng Việt ✔️ ETS 6588 Lắp Mọi Loại Sim Di Động, Gphone, HomePhone",₫579.000,,,,,,,,22 tháng trước,4k,178,523,one.mac,98%,trong vài giờ
Điện thoại bàn,,Đã thích (1),,0,Điện thoại Misubishi D905i màu đen,₫800.000,,,,,,,,4 năm trước,378,914,92,nhutthao1988,37%,trong vài giờ
Điện thoại bàn,,Đã thích (8),,0,Robot hút bụi Ecovacs Deebot D3 Line Friends  - Cam kết chính hãng - Bảo hành 12 tháng,₫8.010.000,,,,,,,,3 năm trước,"5,5k",229,45,ecotech_vietnam,52%,trong vài giờ
Điện thoại bàn,,Đã thích (4),,0,Điện thoại TCL 3288+ chính hãng,₫800.000,,,,,,,,4 năm trước,265,988,130,jeremie.09,67%,trong vài giờ
Điện thoại bàn,,Đã thích (1),,0,MÁY CASSETTE NATIONAL A2,₫15.000.000,,,,,,,,4 năm trước,129,38,3,trunglp88,57%,trong vài giờ
Điện thoại bàn,,Đã thích (1),,0,Máy quay Handycam Pana HC- V620M zoom 50x có wifi kết nối điện thoại,₫5.690.000,,,,,,,,4 năm trước,"1,6k",679,808,zungge,90%,trong vài giờ
Điện thoại bàn,,Đã thích (1),,0,✾✉Xiaomi Bộ sạc không dây làm mát bằng gió dọc điện thoại di động 55W Chính hãng Cửa hàng đầu thức của,₫1.089.051,,,,,,,,13 tháng trước,136,428,10,hjxu0rdwar,10%,trong vài giờ
Điện thoại bàn,,"Đã thích (1,4k)",,0,Hộp Điện Âm Bàn Chữ Nhật - 118*263mm - Kiểu 1 - Hộp Điện Âm Bàn Đa Năng,₫365.000,,,,,,,,12 tháng trước,"6,2k",517,172,sieuthidomoc,66%,trong vài giờ
Điện thoại bàn,,Đã thích (1),,0,ĐIỆN THOẠI BÀN PANASONIC KX-TS880,₫361.000,,,,,,,,3 năm trước,21,167,3,hoangcao192,50%,trong vài giờ
Điện thoại bàn,,Đã thích (2),,0,Máy điện giải ion kiềm Panasonic TK-AS45,₫20.105.000,,,,,,,,34 tháng trước,131,240,147,ananbinh87,96%,trong vài phút
Điện thoại bàn,,Đã thích (1),,0,Vỏ Gỗ Điện Thoại 1202,₫299.000,,,,,,,,17 tháng trước,0,6,0,annh6789,17%,trong vài giờ
Điện thoại bàn,,Đã thích (2),,0,máy là Mj Animals swag (Moji),₫120.000,,,,,,,,4 năm trước,90,18,0,nga_pham_quynh,21%,trong vài phút
Điện thoại bàn,,Đã thích (13),,0,ETS3023+ ☎️ Máy Điện Thoại Bàn ☎️ Lắp Sim Gphone STK Mã Huawei ETS3023+ [HOT Nhất],₫439.000,,,,,,,,16 tháng trước,"1,1k",138,72,vin_one,96%,trong vài giờ
Điện thoại bàn,,Đã thích (1),,0,Dây điện thay thế,₫2.200.000,,,,,,,,4 năm trước,51,26,53,thinhhopham,4%,trong vài giờ
Điện thoại bàn,,,,0,"Lô sấy rời Photo Xerox S1810, 2010, 2220, 2040, 2420",₫250.000,,,,,,,,4 năm trước,19,632,41,tranthituyen222,57%,trong vài giờ
Điện thoại bàn,,Đã thích (2),,0,Điện thoại Nhật Sharp SH-09C,₫3.900.000,,,,,,,,5 năm trước,960,2k,658,haivan87,50%,trong vài giờ
Điện thoại bàn,,Đã thích (585),,0,Máy laser 5 tia xanh Máy cân mực laser,₫900.000,,,,,,,,4 năm trước,"4,8k",263,864,hadaka_dh,86%,trong vài giờ
Điện thoại bàn,,Đã thích (37),,0,"❤️ Điện Thoại Bàn Không Dây Lắp Sim, Gắn Các Loại Sim: VinaPhone, Viettel, Mobifone, Gphone, HomePhone Huawei GSM F316",₫389.000,,,,,,,,17 tháng trước,296,162,365,an_box,98%,trong vài giờ
Điện thoại bàn,,Đã thích (1),,0,Chính Hãng Máy Laser Canzy Korea,₫25.200.000,,,,,,,,4 năm trước,"5,1k",382,"1,5k",chichbongbonbon,90%,trong vài giờ
Điện thoại bàn,,Đã thích (232),,0,"☎️ Điện Thoại Bàn Không Dây Dùng Sim Di Động, Sim GPhone, Sim HomePhone - Bản 2 Sim, Có Tiếng Việt☎️",₫579.000 - ₫639.000,,,,,,,,4 năm trước,"1,4k",141,562,bon_bon_store,9%,trong vài giờ
Điện thoại bàn,,Đã thích (2),,0,Bàn gọi 8 vùng zone Bosch PLM-8CS,₫15.169.000,,,,,,,,12 tháng trước,9,333,0,luan.0906,56%,trong vài giờ
Điện thoại bàn,,,,0,"Bàn bar, bàn cafe",₫800.000,,,,,,,,29 tháng trước,59,377,0,banghevuphong,67%,trong vài giờ
Điện thoại bàn,,Đã thích (2),,0,Điện thoại mèo tôm biết nói 10 chức năng - Maù ngẫu nhiên,₫50.000,,,,,,,,19 tháng trước,9,50,5,sungfashion,24%,trong vài giờ
Điện thoại bàn,,Đã thích (141),,0,Điện thoại bàn PANASONIC KX-TS500MX Mã SP: KX-TS500MX,₫207.000,,,,,,,,13 tháng trước,"2,9k",315,28,tongkhodientugiadung,8%,trong vài giờ
