category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Điện thoại,5.0,Đã thích (1),5.0,12,"Điện thoại cảm ứng Oppo A57 (F3 Lite) RAM 3GB/32GB máy chính hãng cấu hình mạnh, có cảm biến vân tay siêu nhạy",₫1.119.000 - ₫1.159.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (3),Có Bình luận (3),Có hình ảnh / video (3),10 tháng trước,540,121,536,dien.tu.2tek.1,88%,trong vài giờ
Điện thoại,4.8,Đã thích (2),4.8,18,vỏ thay nắp lưng Galaxy S5 xịn đủ màu,₫53.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (0),5 Sao (8),Có Bình luận (5),Có hình ảnh / video (1),32 tháng trước,"4,8k","4,9k","11,7k",baonamphukien0985739678,98%,trong vài giờ
Điện thoại,5.0,Đã thích (15),5.0,109,điện thoại Sony Xperia XZ1 ram 4G/64G Chính hãng mới zin,₫1.648.000 - ₫1.999.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (5),Có Bình luận (3),Có hình ảnh / video (3),3 năm trước,"11,9k",715,"10,8k",smartphonegiasi,77%,trong vài giờ
Điện thoại,5.0,Đã thích (8),5.0,368,Điện Thoại Phổ Thông Đập Đá Nokia 6700 6700c Classic Gold Điện Thoại Bàn Phím To Cho Người Già - OHNO Việt Nam,₫4.799.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (1),Có Bình luận (1),Có hình ảnh / video (0),5 năm trước,"1,7k",289,367,mapalan,57%,trong vài ngày
Điện thoại,4.8,Đã thích (19),4.8,10,"Điện Thoại Sony Xperia XZ2 , XZ2 Premium Like New, Áp Suất Căng Đét",₫2.650.000 - ₫3.690.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (0),5 Sao (7),Có Bình luận (6),Có hình ảnh / video (3),4 năm trước,"1,9k",5,34,dwatchstore,66%,trong vài giờ
Điện thoại,4.6,Đã thích (8),4.6,23,Tai nghe Bluetooth thể thao cho điện thoại Android iPhone Vivo Oppo Xiaomi Samsung Huawei LG,₫106.000 - ₫116.000,1 Sao (1),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (10),Có Bình luận (2),Có hình ảnh / video (1),3 năm trước,"27,4k","2,7k","25,3k",vadmx.vn,50%,trong vài giờ
Điện thoại,5.0,Đã thích (7),5.0,43,Sườn máy Nokia 1280 ZIN,₫39.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (21),Có Bình luận (4),Có hình ảnh / video (4),4 năm trước,"8,5k","1,9k","14,1k",shoptichuot,100%,trong vài giờ
Điện thoại,4.6,Đã thích (9),4.6,47,Điện Thoại Nokia 130 (2 sim) - BH 12 Tháng,₫155.000 - ₫165.000,,,,,,,,20 tháng trước,438,82,979,anhbinhminhv,48%,trong vài giờ
Điện thoại,4.3,Đã thích (30),4.3,75,Điện thoại 2 sim giá rẻ Nokia 3310,₫259.000 - ₫299.000,1 Sao (3),2 Sao (0),3 Sao (1),4 Sao (1),5 Sao (16),Có Bình luận (12),Có hình ảnh / video (6),23 tháng trước,276,178,297,dienthoaidoc2,52%,trong vài giờ
Điện thoại,4.9,Đã thích (8),4.9,17,[Mã 11ELSALE hoàn 7% xu đơn 300k] Điện thoại Nokia C01 Plus (2GB/16GB) - Hàng chính hãng,₫1.839.000,,,,,,,,4 năm trước,"23,8k","1,2k","10,6k",longhung_mobilestore,99%,trong vài giờ
