category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Máy tính bàn,,Đã thích (1),,0.0,Combo máy tính I3 9100F+ Main H310 - Chính hãng 36T,₫1.550.000 - ₫4.500.000,,,,,,,,20 tháng trước,"4,1k",882,49,thegioigaming0962623060,43%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,Thùng Máy PC  Để Bàn,₫500.000,,,,,,,,5 năm trước,343,557,322,maytinhthocon,59%,trong vài giờ
Máy tính bàn,,Đã thích (3),,0.0,"Case máy tính đồng bộ HP ProDesk 400G3 SFF, cpu core i5-6500, ram 8GB, SSD 240GB,HDD 1TB Tặng USB thu Wifi",₫9.129.000,,,,,,,,4 năm trước,"7,6k",1k,290,may_tinh_tdc,85%,trong vài giờ
Máy tính bàn,,Đã thích (13),,0.0,"Máy tính ALL IN ONE NASUN, Model: NS-238A1 (Màn 23.8inch FHD 1920*1080)",₫8.160.000,,,,,,,,4 năm trước,862,336,642,vuongnv8x,80%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,Bộ máy tính WORKSTATION đa nhiệm Ryzen 7 2700/ 16G/ SSD 256,₫17.500.000,,,,,,,,26 tháng trước,883,224,132,the_fantasy_store,85%,trong vài giờ
Máy tính bàn,,Đã thích (105),,0.0,"Case máy tính để bàn,máy tính đồng bộ HP 400G1/600G1 CPU i3-4130  Ram 8GB SSD 240GB Tặng USB thu Wifi",₫4.706.000,,,,,,,,4 năm trước,"7,6k",1k,290,may_tinh_tdc,85%,trong vài giờ
Máy tính bàn,,Đã thích (3),,0.0,"PC chơi game giá rẻ 2nd Không bảo hành chiến mượt lol luôn trên 100 fps, mua thì liên hệ FB ở phần mô tả",₫2.000.000 - ₫2.700.000,,,,,,,,22 tháng trước,2,2,0,dang26082001,75%,trong vài giờ
Máy tính bàn,,Đã thích (2),,0.0,Bộ chữ cái Mech Clan A B C D (chính hãng Xinlexin),₫135.000,,,,,,,,29 tháng trước,132,169,112,meo.con.81,19%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,(SALE 50%) Áo thun game Liên Minh Tốc Chiến in hình Yasuo LMHT M2859,₫88.200 - ₫117.600,,,,,,,,10 tháng trước,"3,1k",5k,243,shopaothunanimedep,57%,trong vài giờ
Máy tính bàn,,Đã thích (2),,0.0,"Thùng máy vi tính chơi Game online, Học online trên Zoom, Google Meet .v.v...",₫1.190.000,,,,,,,,17 tháng trước,84,266,31,giamgia274,73%,trong vài giờ
Máy tính bàn,,Đã thích (4),,0.0,[Mã ELMALL1TR giảm 5% đơn 3TR] PC HP ProDesk 400 G7 MT 22F93PA i7-10700|8Gb|1Tb| Win10-Hàng chính hãng,₫16.150.000,,,,,,,,18 tháng trước,"59,5k",173,47,hp_flagship_vhlt_store,62%,trong vài giờ
Máy tính bàn,,Đã thích (8),,0.0,[Mã 11ELSALE hoàn 7% đơn 300K] Bộ Máy Tính Bàn Dùng Học Tập Làm Việc Đầy Đủ Cả Bộ Chính Hãng Cao Cấp,₫1.666.000,,,,,,,,4 năm trước,"1,3k","1,3k",730,vophu6688,94%,trong vài giờ
Máy tính bàn,,Đã thích (3),,0.0,"Máy Trạm Dell Precision T5810, Hỗ Trợ CPU Xeon E5 -V3 & V4, Ram ECC DDR4",₫11.400.000 - ₫18.800.000,,,,,,,,3 năm trước,196,113,173,bhr2401,57%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,[Mã ELMALL1TR giảm 5% đơn 3TR] Máy tính để bàn PC HP Pavilion TP01-1114d 180S4AA i5-10400| 8GB| 512GB| Win10,₫13.429.000,,,,,,,,18 tháng trước,"59,5k",173,47,hp_flagship_vhlt_store,62%,trong vài giờ
Máy tính bàn,,Đã thích (2),,0.0,"Cấu Hình  : H310, i3 9100F, RX550 2G, Ram 8G, SSD 120G, PSU 400W",₫8.300.000,,,,,,,,4 năm trước,7,5,0,gamingblue2a12.2,57%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,"Case máy tính đồng bộ MAX PC CPU Core i7 4770 Ram 16GB SSD 240GB+HDD 500GB+ Qùa tặng bộ phím chuột, bàn di chuột",₫6.718.400,,,,,,,,4 năm trước,"11,4k","1,1k","3,3k",tranthe109,84%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,máy tính bàn PC HP 285 Pro G6 MT (320A5PA)/ AMD Ryzen 5 4600G-mới 100%,₫11.990.000,,,,,,,,9 tháng trước,111,679,92,tanhungphatonline,93%,trong vài giờ
Máy tính bàn,,Đã thích (3),,0.0,"Bộ máy tính để bàn siêu nhanh Dell OPTIPLEX 790, E04S2M24 (i5-2400/RAM 8GB/SSD 250GB/DVD)/Màn hình Dell 24 inch FullHD",₫6.890.000,,,,,,,,5 năm trước,262,79,51,hdstorecomputer,1%,trong vài ngày
Máy tính bàn,,Đã thích (5),,0.0,Thùng PC VIP GAMING I7 THẾ HỆ 10 ( I7 11700 - RAM 16G - RTX 3060 - PSU MSI 650W 80plus bronze ),₫36.490.000,,,,,,,,4 năm trước,965,1k,"1,1k",vitinhnguyenthang,91%,trong vài giờ
Máy tính bàn,,Đã thích (4),,0.0,Card wifi AX200 chân mini PCIE dành cho máy tính Pc laptop,₫340.000 - ₫420.000,,,,,,,,17 tháng trước,2,28,0,quyenanh940,57%,trong vài giờ
Máy tính bàn,,Đã thích (11),,0.0,"Case máy tính đồng bộ HP ProDesk 400G3 SFF, cpu core i5-6500, ram 4GB, SSD 120GB Tặng USB thu Wifi",₫7.222.000,,,,,,,,4 năm trước,"7,6k",1k,290,may_tinh_tdc,85%,trong vài giờ
Máy tính bàn,,Đã thích (7),,0.0,"Case máy tính đồng bộ HP ProDesk 400G3 SFF, cpu core i5-6500, ram 8GB, SSD 512GB,HDD 1TB Tặng USB thu Wifi",₫9.843.000,,,,,,,,4 năm trước,"7,6k",1k,290,may_tinh_tdc,85%,trong vài giờ
Máy tính bàn,,Đã thích (2),,0.0,[QUÀ TẶNG LINH ĐÌNH - EURO CHẠM ĐỈNH] Bộ PC Gaming I7 5775 H97 Ram 8GB SSD 120 Nguồn 350W Vỏ Xigmatek XA20 New,₫5.000.000,,,,,,,,11 tháng trước,147,252,154,uproad_store,77%,trong vài giờ
Máy tính bàn,,Đã thích (38),,0.0,"Case máy tính để bàn,máy tính đồng bộ HP 400G1/600G1 CPU core  i7-4770  Ram 4GB SSD 120GB  Tặng USB thu Wifi",₫6.533.000,,,,,,,,4 năm trước,"7,6k",1k,290,may_tinh_tdc,85%,trong vài giờ
Máy tính bàn,,Đã thích (44),,0.0,"Case máy tính để bàn,máy tính đồng bộ HP 400G1/600G1 CPU core  i7-4770  Ram 16GB SSD 480GB+HDD 500GB  Tặng USB thu Wifi",₫9.813.000,,,,,,,,4 năm trước,"7,6k",1k,290,may_tinh_tdc,85%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,"Case máy tính đồng bộ MAX PC CPU Core i7 3770 Ram 8GB SSD 128GB+HDD 500GB+ Qùa tặng bộ phím chuột, bàn di chuột",₫5.124.650,,,,,,,,4 năm trước,"11,4k","1,1k","3,3k",tranthe109,84%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,Trọn bộ máy vi tính bàn ram 4Gb,₫1.990.000,,,,,,,,3 năm trước,10,30,17,xuanlinh.2202,27%,trong vài giờ
Máy tính bàn,,Đã thích (502),,0.0,[MÁY TÍNH BỘ ] DELL PRECISION T7910 2chip INTEL XEON E5-2678v3 E5-2699v3/QUADRO M2000 M4000 M5000 K6000-BH 3 NĂM,₫35.000.000 - ₫75.000.000,,,,,,,,4 năm trước,654,93,5,phantai7968,22%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,"máy chuyên game, đồ hoạ cao giá rẻ",₫4.500.000,,,,,,,,25 tháng trước,22,24,18,thanhlongc,22%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,Máy in HP OfficeJet Pro 7720 Wide Format All-in-One Printer,₫5.350.000,,,,,,,,4 năm trước,124,170,12,lequanghung0512,6%,trong vài giờ
Máy tính bàn,,Đã thích (7),,0.0,BÀN PC GAMING-BÀN MÁY TÍNH,₫3.099.000,,,,,,,,4 năm trước,109,51,4,vuivatva93,82%,trong vài giờ
Máy tính bàn,,Đã thích (2),,0.0,PC Dell Vostro 3681 SFF (i5-10400/4GB RAM/1TB HDD/DVDRW/WL+BT/K+M/Win 10),₫11.000.000,,,,,,,,11 tháng trước,0,10,0,tanthaibinhhn,57%,trong vài giờ
Máy tính bàn,,Đã thích (62),,0.0,Bộ Bàn Phím Kèm Chuột Máy Tính Con Báo G21 Version 2 Có LED 7 Màu Ấn Tượng,₫300.000,,,,,,,,10 tháng trước,556,51,"2,3k",cardine.official,92%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,Combo bộ 3 Fan led RGB 2 mặt VSP V206 / V206B / V207 +Hub + Remote 12cm cho máy tính,₫310.000,,,,,,,,5 năm trước,"4,3k",205,"2,1k",tranminhtruong622,2%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,Thùng máy tính Lenovo H61 ... Quá đẹp,₫3.000.000,,,,,,,,4 năm trước,85,16,6,vitinh999,75%,trong vài giờ
